age,race,,,,,,,,,,,,
28,White,,,,,,,,,,,,
57,Black,,,,,,,,,,,,
23,Black,,,,,,,,,,,,
37,Black,,,,,,,,,,,,
49,White,,,,,,,,,,,,
47,Unknown race,,,,,,,,,,,,
51,White,,,,,,,,,,,,
27,White,,,,,,,,,,,,
50,Hispanic,,,,,,,,,,,,
76,Unknown race,,,,,,,,,,,,
29,Unknown race,,,,,,,,,,,,
34,Unknown race,,,,,,,,,,,,
31,Unknown race,,,,,,,,,,,,
31,White,,,,,,,,,,,,
52,White,,,,,,,,,,,,
34,White,,,,,,,,,,,,
27,Unknown race,,,,,,,,,,,,
43,White,,,,,,,,,,,,
42,White,,,,,,,,,,,,
16,Unknown race,,,,,,,,,,,,
35,Black,,,,,,,,,,,,
35,Hispanic,,,,,,,,,,,,
23,Black,,,,,,,,,,,,
59,Unknown race,,,,,,,,,,,,
56,Unknown race,,,,,,,,,,,,
65,Unknown race,,,,,,,,,,,,
60,Black,,,,,,,,,,,,
38,Unknown race,,,,,,,,,,,,
24,White,,,,,,,,,,,,
34,Hispanic,,,,,,,,,,,,
24,Black,,,,,,,,,,,,
46,Unknown race,,,,,,,,,,,,
57,White,,,,,,,,,,,,
40,White,,,,,,,,,,,,
57,Unknown race,,,,,,,,,,,,
26,White,,,,,,,,,,,,
61,Black,,,,,,,,,,,,
44,White,,,,,,,,,,,,
38,White,,,,,,,,,,,,
21,Black,,,,,,,,,,,,
29,White,,,,,,,,,,,,
47,Unknown race,,,,,,,,,,,,
38,White,,,,,,,,,,,,
25,Black,,,,,,,,,,,,
28,Black,,,,,,,,,,,,
29,Unknown race,,,,,,,,,,,,
41,White,,,,,,,,,,,,
27,White,,,,,,,,,,,,
63,Unknown race,,,,,,,,,,,,
27,Pacific Islander,,,,,,,,,,,,
31,White,,,,,,,,,,,,
28,White,,,,,,,,,,,,
34,Pacific Islander,,,,,,,,,,,,
23,White,,,,,,,,,,,,
27,Hispanic,,,,,,,,,,,,
